caldt,spindx,sprtrn
2000-01-03,1455.22,-0.009549
2000-01-04,1399.42,-0.038345
2000-01-05,1402.11,0.001922
2000-01-06,1403.45,0.000956
2000-01-07,1441.47,0.027090
2000-01-10,1457.60,0.011190
2000-01-11,1438.56,-0.013063
2000-01-12,1432.25,-0.004386
2000-01-13,1449.68,0.012170
2000-01-14,1465.15,0.010671
2000-01-18,1455.14,-0.006832
2000-01-19,1455.90,0.000522
2000-01-20,1445.57,-0.007095
2000-01-21,1441.36,-0.002912
2000-01-24,1401.53,-0.027634
2000-01-25,1410.03,0.006065
2000-01-26,1404.09,-0.004213
2000-01-27,1398.56,-0.003938
2000-01-28,1360.16,-0.027457
2000-01-31,1394.46,0.025218
2000-02-01,1409.28,0.010628
2000-02-02,1409.12,-0.000114
2000-02-03,1424.97,0.011248
2000-02-04,1424.37,-0.000421
2000-02-07,1424.24,-0.000091
2000-02-08,1441.72,0.012273
2000-02-09,1411.70,-0.020822
2000-02-10,1416.83,0.003634
2000-02-11,1387.12,-0.020969
2000-02-14,1389.94,0.002033
2000-02-15,1402.05,0.008713
2000-02-16,1387.67,-0.010256
2000-02-17,1388.26,0.000425
2000-02-18,1346.09,-0.030376
2000-02-22,1352.17,0.004517
2000-02-23,1360.69,0.006301
2000-02-24,1353.43,-0.005336
2000-02-25,1333.36,-0.014829
2000-02-28,1348.05,0.011017
2000-02-29,1366.42,0.013627
2000-03-01,1379.19,0.009346
2000-03-02,1381.76,0.001863
2000-03-03,1409.17,0.019837
2000-03-06,1391.28,-0.012695
2000-03-07,1355.62,-0.025631
2000-03-08,1366.70,0.008173
2000-03-09,1401.69,0.025602
2000-03-10,1395.07,-0.004723
2000-03-13,1383.62,-0.008207
2000-03-14,1359.15,-0.017685
2000-03-15,1392.15,0.024280
2000-03-16,1458.47,0.047639
2000-03-17,1464.47,0.004114
2000-03-20,1456.63,-0.005353
2000-03-21,1493.87,0.025566
2000-03-22,1500.64,0.004532
2000-03-23,1527.35,0.017799
2000-03-24,1527.46,0.000072
2000-03-27,1523.86,-0.002357
2000-03-28,1507.73,-0.010585
2000-03-29,1508.52,0.000524
2000-03-30,1487.92,-0.013656
2000-03-31,1498.58,0.007164
2000-04-03,1505.97,0.004931
2000-04-04,1494.73,-0.007464
2000-04-05,1487.37,-0.004924
2000-04-06,1501.34,0.009392
2000-04-07,1516.35,0.009998
2000-04-10,1504.46,-0.007841
2000-04-11,1500.59,-0.002572
2000-04-12,1467.17,-0.022271
2000-04-13,1440.51,-0.018171
2000-04-14,1356.56,-0.058278
2000-04-17,1401.44,0.033084
2000-04-18,1441.61,0.028663
2000-04-19,1427.47,-0.009808
2000-04-20,1434.54,0.004953
2000-04-24,1429.86,-0.003262
2000-04-25,1477.44,0.033276
2000-04-26,1460.99,-0.011134
2000-04-27,1464.92,0.002690
2000-04-28,1452.43,-0.008526
2000-05-01,1468.25,0.010892
2000-05-02,1446.29,-0.014957
2000-05-03,1415.10,-0.021566
2000-05-04,1409.57,-0.003908
2000-05-05,1432.63,0.016360
2000-05-08,1424.17,-0.005905
2000-05-09,1412.14,-0.008447
2000-05-10,1383.05,-0.020600
2000-05-11,1407.81,0.017902
2000-05-12,1420.96,0.009341
2000-05-15,1452.36,0.022098
2000-05-16,1466.04,0.009419
2000-05-17,1447.80,-0.012442
2000-05-18,1437.21,-0.007315
2000-05-19,1406.95,-0.021055
2000-05-22,1400.72,-0.004428
2000-05-23,1373.86,-0.019176
2000-05-24,1399.05,0.018335
2000-05-25,1381.52,-0.012530
2000-05-26,1378.02,-0.002533
2000-05-30,1422.45,0.032242
2000-05-31,1420.60,-0.001301
2000-06-01,1448.81,0.019858
2000-06-02,1477.26,0.019637
2000-06-05,1467.63,-0.006519
2000-06-06,1457.84,-0.006671
2000-06-07,1471.36,0.009274
2000-06-08,1461.67,-0.006586
2000-06-09,1456.95,-0.003229
2000-06-12,1446.00,-0.007516
2000-06-13,1469.44,0.016210
2000-06-14,1470.54,0.000749
2000-06-15,1478.73,0.005569
2000-06-16,1464.46,-0.009650
2000-06-19,1486.00,0.014708
2000-06-20,1475.95,-0.006763
2000-06-21,1479.13,0.002155
2000-06-22,1452.18,-0.018220
2000-06-23,1441.48,-0.007368
2000-06-26,1455.31,0.009594
2000-06-27,1450.55,-0.003271
2000-06-28,1454.82,0.002944
2000-06-29,1442.39,-0.008544
2000-06-30,1454.60,0.008465
2000-07-03,1469.54,0.010271
2000-07-05,1446.23,-0.015862
2000-07-06,1456.67,0.007219
2000-07-07,1478.90,0.015261
2000-07-10,1475.62,-0.002218
2000-07-11,1480.88,0.003565
2000-07-12,1492.92,0.008130
2000-07-13,1495.84,0.001956
2000-07-14,1509.98,0.009453
2000-07-17,1510.49,0.000338
2000-07-18,1493.74,-0.011089
2000-07-19,1481.96,-0.007886
2000-07-20,1495.57,0.009184
2000-07-21,1480.19,-0.010284
2000-07-24,1464.29,-0.010742
2000-07-25,1474.47,0.006952
2000-07-26,1452.42,-0.014955
2000-07-27,1449.62,-0.001928
2000-07-28,1419.89,-0.020509
2000-07-31,1430.83,0.007705
2000-08-01,1438.10,0.005081
2000-08-02,1438.70,0.000417
2000-08-03,1452.56,0.009634
2000-08-04,1462.93,0.007139
2000-08-07,1479.32,0.011204
2000-08-08,1482.80,0.002352
2000-08-09,1472.87,-0.006697
2000-08-10,1460.25,-0.008568
2000-08-11,1471.84,0.007937
2000-08-14,1491.56,0.013398
2000-08-15,1484.43,-0.004780
2000-08-16,1479.85,-0.003085
2000-08-17,1496.07,0.010961
2000-08-18,1491.72,-0.002908
2000-08-21,1499.48,0.005202
2000-08-22,1498.13,-0.000900
2000-08-23,1505.97,0.005233
2000-08-24,1508.31,0.001554
2000-08-25,1506.45,-0.001233
2000-08-28,1514.09,0.005072
2000-08-29,1509.84,-0.002807
2000-08-30,1502.59,-0.004802
2000-08-31,1517.68,0.010043
2000-09-01,1520.77,0.002036
2000-09-05,1507.08,-0.009002
2000-09-06,1492.25,-0.009840
2000-09-07,1502.51,0.006876
2000-09-08,1494.50,-0.005331
2000-09-11,1489.26,-0.003506
2000-09-12,1481.99,-0.004882
2000-09-13,1484.91,0.001970
2000-09-14,1480.87,-0.002721
2000-09-15,1465.81,-0.010170
2000-09-18,1444.51,-0.014531
2000-09-19,1459.90,0.010654
2000-09-20,1451.34,-0.005863
2000-09-21,1449.05,-0.001578
2000-09-22,1448.72,-0.000228
2000-09-25,1439.03,-0.006689
2000-09-26,1427.21,-0.008214
2000-09-27,1426.57,-0.000448
2000-09-28,1458.29,0.022235
2000-09-29,1436.51,-0.014935
2000-10-02,1436.23,-0.000195
2000-10-03,1426.46,-0.006803
2000-10-04,1434.32,0.005510
2000-10-05,1436.28,0.001367
2000-10-06,1408.99,-0.019000
2000-10-09,1402.03,-0.004940
2000-10-10,1387.02,-0.010706
2000-10-11,1364.59,-0.016171
2000-10-12,1329.78,-0.025509
2000-10-13,1374.17,0.033381
2000-10-16,1374.62,0.000327
2000-10-17,1349.97,-0.017932
2000-10-18,1342.13,-0.005808
2000-10-19,1388.76,0.034743
2000-10-20,1396.93,0.005883
2000-10-23,1395.78,-0.000823
2000-10-24,1398.13,0.001684
2000-10-25,1364.90,-0.023767
2000-10-26,1364.44,-0.000337
2000-10-27,1379.58,0.011096
2000-10-30,1398.66,0.013830
2000-10-31,1429.40,0.021978
2000-11-01,1421.22,-0.005723
2000-11-02,1428.32,0.004996
2000-11-03,1426.69,-0.001141
2000-11-06,1432.19,0.003855
2000-11-07,1431.87,-0.000223
2000-11-08,1409.28,-0.015777
2000-11-09,1400.14,-0.006486
2000-11-10,1365.98,-0.024398
2000-11-13,1351.26,-0.010776
2000-11-14,1382.95,0.023452
2000-11-15,1389.81,0.004960
2000-11-16,1372.32,-0.012584
2000-11-17,1367.72,-0.003352
2000-11-20,1342.62,-0.018352
2000-11-21,1347.35,0.003523
2000-11-22,1322.36,-0.018548
2000-11-24,1341.77,0.014678
2000-11-27,1348.97,0.005366
2000-11-28,1336.09,-0.009548
2000-11-29,1341.93,0.004371
2000-11-30,1314.95,-0.020105
2000-12-01,1315.23,0.000213
2000-12-04,1324.97,0.007406
2000-12-05,1376.54,0.038922
2000-12-06,1351.46,-0.018220
2000-12-07,1343.55,-0.005853
2000-12-08,1369.89,0.019605
2000-12-11,1380.20,0.007526
2000-12-12,1371.18,-0.006535
2000-12-13,1359.99,-0.008161
2000-12-14,1340.93,-0.014015
2000-12-15,1312.15,-0.021463
2000-12-18,1322.74,0.008071
2000-12-19,1305.60,-0.012958
2000-12-20,1264.74,-0.031296
2000-12-21,1274.86,0.008002
2000-12-22,1305.97,0.024403
2000-12-26,1315.19,0.007060
2000-12-27,1328.92,0.010440
2000-12-28,1334.22,0.003988
2000-12-29,1320.28,-0.010448
2001-01-02,1283.27,-0.028032
2001-01-03,1347.56,0.050099
2001-01-04,1333.34,-0.010552
2001-01-05,1298.35,-0.026242
2001-01-08,1295.86,-0.001918
2001-01-09,1300.80,0.003812
2001-01-10,1313.27,0.009586
2001-01-11,1326.82,0.010318
2001-01-12,1318.32,-0.006406
2001-01-16,1326.65,0.006319
2001-01-17,1329.47,0.002126
2001-01-18,1347.97,0.013915
2001-01-19,1342.54,-0.004028
2001-01-22,1342.90,0.000268
2001-01-23,1360.40,0.013032
2001-01-24,1364.30,0.002867
2001-01-25,1357.51,-0.004977
2001-01-26,1354.95,-0.001886
2001-01-29,1364.17,0.006805
2001-01-30,1373.73,0.007008
2001-01-31,1366.01,-0.005620
2001-02-01,1373.47,0.005461
2001-02-02,1349.47,-0.017474
2001-02-05,1354.31,0.003587
2001-02-06,1352.26,-0.001514
2001-02-07,1340.89,-0.008408
2001-02-08,1332.53,-0.006235
2001-02-09,1314.76,-0.013336
2001-02-12,1330.31,0.011827
2001-02-13,1318.80,-0.008652
2001-02-14,1315.92,-0.002184
2001-02-15,1326.61,0.008124
2001-02-16,1301.53,-0.018905
2001-02-20,1278.94,-0.017357
2001-02-21,1255.27,-0.018508
2001-02-22,1252.82,-0.001952
2001-02-23,1245.86,-0.005555
2001-02-26,1267.65,0.017490
2001-02-27,1257.94,-0.007660
2001-02-28,1239.94,-0.014309
2001-03-01,1241.23,0.001040
2001-03-02,1234.18,-0.005680
2001-03-05,1241.41,0.005858
2001-03-06,1253.80,0.009981
2001-03-07,1261.89,0.006452
2001-03-08,1264.74,0.002259
2001-03-09,1233.42,-0.024764
2001-03-12,1180.16,-0.043181
2001-03-13,1197.66,0.014829
2001-03-14,1166.71,-0.025842
2001-03-15,1173.56,0.005871
2001-03-16,1150.53,-0.019624
2001-03-19,1170.81,0.017627
2001-03-20,1142.62,-0.024077
2001-03-21,1122.14,-0.017924
2001-03-22,1117.58,-0.004064
2001-03-23,1139.83,0.019909
2001-03-26,1152.69,0.011282
2001-03-27,1182.17,0.025575
2001-03-28,1153.29,-0.024430
2001-03-29,1147.95,-0.004630
2001-03-30,1160.33,0.010784
2001-04-02,1145.87,-0.012462
2001-04-03,1106.46,-0.034393
2001-04-04,1103.25,-0.002901
2001-04-05,1151.44,0.043680
2001-04-06,1128.43,-0.019984
2001-04-09,1137.59,0.008117
2001-04-10,1168.38,0.027066
2001-04-11,1165.89,-0.002131
2001-04-12,1183.50,0.015104
2001-04-16,1179.68,-0.003228
2001-04-17,1191.81,0.010282
2001-04-18,1238.16,0.038890
2001-04-19,1253.70,0.012551
2001-04-20,1242.98,-0.008551
2001-04-23,1224.36,-0.014980
2001-04-24,1209.47,-0.012161
2001-04-25,1228.75,0.015941
2001-04-26,1234.52,0.004696
2001-04-27,1253.05,0.015010
2001-04-30,1249.46,-0.002865
2001-05-01,1266.44,0.013590
2001-05-02,1267.43,0.000782
2001-05-03,1248.58,-0.014873
2001-05-04,1266.61,0.014440
2001-05-07,1263.51,-0.002447
2001-05-08,1261.20,-0.001828
2001-05-09,1255.54,-0.004488
2001-05-10,1255.18,-0.000287
2001-05-11,1245.67,-0.007577
2001-05-14,1248.92,0.002609
2001-05-15,1249.44,0.000416
2001-05-16,1284.99,0.028453
2001-05-17,1288.49,0.002724
2001-05-18,1291.96,0.002693
2001-05-21,1312.83,0.016154
2001-05-22,1309.38,-0.002628
2001-05-23,1289.05,-0.015526
2001-05-24,1293.17,0.003196
2001-05-25,1277.89,-0.011816
2001-05-29,1267.93,-0.007794
2001-05-30,1248.08,-0.015655
2001-05-31,1255.82,0.006202
2001-06-01,1260.67,0.003862
2001-06-04,1267.11,0.005108
2001-06-05,1283.57,0.012990
2001-06-06,1270.03,-0.010549
2001-06-07,1276.96,0.005457
2001-06-08,1264.96,-0.009397
2001-06-11,1254.39,-0.008356
2001-06-12,1255.85,0.001164
2001-06-13,1241.60,-0.011347
2001-06-14,1219.87,-0.017502
2001-06-15,1214.36,-0.004517
2001-06-18,1208.43,-0.004883
2001-06-19,1212.58,0.003434
2001-06-20,1223.14,0.008709
2001-06-21,1237.04,0.011364
2001-06-22,1225.35,-0.009450
2001-06-25,1218.60,-0.005509
2001-06-26,1216.76,-0.001510
2001-06-27,1211.07,-0.004676
2001-06-28,1226.20,0.012493
2001-06-29,1224.42,-0.001452
2001-07-02,1236.71,0.010037
2001-07-03,1234.45,-0.001827
2001-07-05,1219.24,-0.012321
2001-07-06,1190.59,-0.023498
2001-07-09,1198.78,0.006879
2001-07-10,1181.52,-0.014398
2001-07-11,1180.18,-0.001134
2001-07-12,1208.14,0.023691
2001-07-13,1215.68,0.006241
2001-07-16,1202.45,-0.010883
2001-07-17,1214.44,0.009971
2001-07-18,1207.71,-0.005542
2001-07-19,1215.02,0.006053
2001-07-20,1210.85,-0.003432
2001-07-23,1191.03,-0.016369
2001-07-24,1171.65,-0.016272
2001-07-25,1190.49,0.016080
2001-07-26,1202.93,0.010449
2001-07-27,1205.82,0.002402
2001-07-30,1204.52,-0.001078
2001-07-31,1211.23,0.005571
2001-08-01,1215.93,0.003880
2001-08-02,1220.75,0.003964
2001-08-03,1214.35,-0.005243
2001-08-06,1200.48,-0.011422
2001-08-07,1204.40,0.003265
2001-08-08,1183.53,-0.017328
2001-08-09,1183.43,-0.000084
2001-08-10,1190.16,0.005687
2001-08-13,1191.29,0.000949
2001-08-14,1186.73,-0.003828
2001-08-15,1178.02,-0.007339
2001-08-16,1181.66,0.003090
2001-08-17,1161.97,-0.016663
2001-08-20,1171.41,0.008124
2001-08-21,1157.26,-0.012079
2001-08-22,1165.31,0.006956
2001-08-23,1162.09,-0.002763
2001-08-24,1184.93,0.019654
2001-08-27,1179.21,-0.004827
2001-08-28,1161.51,-0.015010
2001-08-29,1148.60,-0.011115
2001-08-30,1129.03,-0.017038
2001-08-31,1133.58,0.004030
2001-09-04,1132.94,-0.000565
2001-09-05,1131.74,-0.001059
2001-09-06,1106.40,-0.022390
2001-09-07,1085.78,-0.018637
2001-09-10,1092.54,0.006226
2001-09-17,1038.77,-0.049216
2001-09-18,1032.74,-0.005805
2001-09-19,1016.10,-0.016112
2001-09-20,984.54,-0.031060
2001-09-21,965.80,-0.019034
2001-09-24,1003.45,0.038983
2001-09-25,1012.27,0.008790
2001-09-26,1007.04,-0.005167
2001-09-27,1018.61,0.011489
2001-09-28,1040.94,0.021922
2001-10-01,1038.55,-0.002296
2001-10-02,1051.33,0.012306
2001-10-03,1072.28,0.019927
2001-10-04,1069.63,-0.002471
2001-10-05,1071.38,0.001636
2001-10-08,1062.44,-0.008344
2001-10-09,1056.75,-0.005356
2001-10-10,1080.99,0.022938
2001-10-11,1097.43,0.015208
2001-10-12,1091.65,-0.005267
2001-10-15,1089.98,-0.001530
2001-10-16,1097.54,0.006936
2001-10-17,1077.09,-0.018633
2001-10-18,1068.61,-0.007873
2001-10-19,1073.48,0.004557
2001-10-22,1089.90,0.015296
2001-10-23,1084.78,-0.004698
2001-10-24,1085.20,0.000387
2001-10-25,1100.09,0.013721
2001-10-26,1104.61,0.004109
2001-10-29,1078.30,-0.023818
2001-10-30,1059.79,-0.017166
2001-10-31,1059.78,-0.000009
2001-11-01,1084.10,0.022948
2001-11-02,1087.20,0.002860
2001-11-05,1102.84,0.014386
2001-11-06,1118.86,0.014526
2001-11-07,1115.80,-0.002735
2001-11-08,1118.54,0.002456
2001-11-09,1120.31,0.001582
2001-11-12,1118.33,-0.001767
2001-11-13,1139.09,0.018563
2001-11-14,1141.21,0.001861
2001-11-15,1142.24,0.000903
2001-11-16,1138.65,-0.003143
2001-11-19,1151.06,0.010899
2001-11-20,1142.66,-0.007298
2001-11-21,1137.03,-0.004927
2001-11-23,1150.34,0.011706
2001-11-26,1157.42,0.006155
2001-11-27,1149.50,-0.006843
2001-11-28,1128.52,-0.018251
2001-11-29,1140.20,0.010350
2001-11-30,1139.45,-0.000658
